block_size,host_min_ms,host_max_ms,host_avg_ms,device_min_ms,device_max_ms,device_avg_ms
5,32.358913,40.603554,35.611302,1.642080,1.751872,1.667478
6,32.980129,38.905216,34.277151,1.440832,1.458624,1.448928
7,32.570465,37.784351,33.860480,1.381504,1.447808,1.402076
8,32.799393,39.551456,34.379421,1.230080,1.247104,1.240262
9,32.554817,40.191326,34.219126,1.315584,1.332992,1.324963
10,32.986816,43.341022,35.463862,1.296992,1.377984,1.314988
11,32.444481,40.648129,34.977472,1.267040,1.362944,1.291891
12,32.364574,39.626431,33.934639,1.255232,1.281024,1.266064
13,33.820545,34.382912,34.062118,1.267392,1.316480,1.276710
14,32.704830,39.411678,33.834229,1.256480,1.298880,1.268291
15,32.468353,39.805218,34.210918,1.219968,1.254720,1.236038
16,32.578209,34.477791,33.260604,1.188704,1.212960,1.195702
17,32.587456,40.796192,34.226275,1.235360,1.262304,1.248368
18,32.702110,39.308929,34.164421,1.251072,1.297760,1.269945
19,32.787071,41.680962,34.649017,1.259968,1.298464,1.278505
20,32.739902,34.397888,33.199660,1.222784,1.284224,1.246118
21,32.476448,40.038208,33.897193,1.243808,1.267456,1.254086
22,32.728512,39.493919,34.419817,1.207008,1.298816,1.246681
23,33.001282,34.484993,33.932538,1.356608,1.427168,1.390720
24,32.575935,41.933025,34.573744,1.356000,1.421696,1.377961
25,32.708031,37.772095,34.032854,1.319424,1.407712,1.344880
26,32.740768,37.805473,34.215324,1.291232,1.329408,1.314870
27,32.512577,40.332256,35.315648,1.273696,1.367968,1.304316
28,32.768673,34.536320,33.384041,1.274240,1.317984,1.299126
29,32.576481,39.120991,34.424723,1.280288,1.301056,1.292972
30,32.708576,39.587521,34.431404,1.268224,1.322912,1.293110
31,32.782818,39.218018,34.198650,1.244768,1.289568,1.266649
32,32.902817,42.912704,36.306685,1.217088,1.294528,1.237705
